Freguesia;PopResi;Concelho
Alvarenga;1057;Arouca
Chave;1270;Arouca
Escariz;2114;Arouca
Fermedo;1261;Arouca
Mansores;1100;Arouca
Moldes;1126;Arouca
Rossas;1491;Arouca
Santa Eulália;2120;Arouca
São Miguel do Mato;550;Arouca
Tropeço;1086;Arouca
União das freguesias de Arouca e Burgo;5124;Arouca
União das freguesias de Cabreiros e Albergaria da Serra;185;Arouca
União das freguesias de Canelas e Espiunca;1065;Arouca
União das freguesias de Covelo de Paivó e Janarde;171;Arouca
Urrô;900;Arouca
Várzea;534;Arouca
Espinho;10434;Espinho
Paramos;3127;Espinho
Silvalde;6108;Espinho
União das freguesias de Anta e Guetim;11376;Espinho
Baguim do Monte (Rio Tinto);14387;Gondomar
Lomba;1286;Gondomar
Rio Tinto;51086;Gondomar
União das freguesias de Fânzeres e São Pedro da Cova;37756;Gondomar
União das freguesias de Foz do Sousa e Covelo;7040;Gondomar
União das freguesias de Gondomar (São Cosme), Valbom e Jovim;47427;Gondomar
União das freguesias de Melres e Medas;5295;Gondomar
Águas Santas;26635;Maia
Castêlo da Maia;18588;Maia
Cidade da Maia;40535;Maia
Folgosa;3605;Maia
Milheirós;4762;Maia
Moreira;13094;Maia
Nogueira e Silva Escura;8381;Maia
Pedrouços;11568;Maia
São Pedro Fins;1816;Maia
Vila Nova da Telha;6004;Maia
União das freguesias de Custóias, Leça do Balio e Guifões;44048;Matosinhos
União das freguesias de Matosinhos e Leça da Palmeira;49046;Matosinhos
União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;29653;Matosinhos
União das freguesias de São Mamede de Infesta e Senhora da Hora;49839;Matosinhos
Carregosa;3466;Oliveira de Azeméis
Cesar;3073;Oliveira de Azeméis
Fajões;2896;Oliveira de Azeméis
Loureiro;3638;Oliveira de Azeméis
Macieira de Sarnes;1856;Oliveira de Azeméis
Ossela;1918;Oliveira de Azeméis
São Martinho da Gândara;1854;Oliveira de Azeméis
São Roque;5025;Oliveira de Azeméis
União das freguesias de Nogueira do Cravo e Pindelo;5098;Oliveira de Azeméis
União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;20667;Oliveira de Azeméis
União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;6736;Oliveira de Azeméis
Vila de Cucujães;9963;Oliveira de Azeméis
Aguiar de Sousa;1582;Paredes
Astromil;1067;Paredes
Baltar;4724;Paredes
Beire;2014;Paredes
Cete;3091;Paredes
Cristelo;1761;Paredes
Duas Igrejas;3649;Paredes
Gandra;6967;Paredes
Lordelo;9107;Paredes
Louredo;1384;Paredes
Parada de Todeia;1793;Paredes
Paredes;20591;Paredes
Rebordosa;8496;Paredes
Recarei;4479;Paredes
Sobreira;4124;Paredes
Sobrosa;2497;Paredes
Vandoma;2306;Paredes
Vilela;4739;Paredes
Bonfim;22981;Porto
Campanhã;29674;Porto
Paranhos;45890;Porto
Ramalde;38849;Porto
União das freguesias de Aldoar, Foz do Douro e Nevogilde;29087;Porto
União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;37434;Porto
União das freguesias de Lordelo do Ouro e Massarelos;27913;Porto
Balazar;2482;Póvoa de Varzim
Estela;2287;Póvoa de Varzim
Laundos;1937;Póvoa de Varzim
Rates;2472;Póvoa de Varzim
União das freguesias da Póvoa de Varzim, Beiriz e Argivai;35437;Póvoa de Varzim
União das freguesias de Aguçadoura e Navais;5389;Póvoa de Varzim
União das freguesias de Aver-o-Mar, Amorim e Terroso;14253;Póvoa de Varzim
Argoncilhe;8184;Santa Maria da Feira
Arrifana;6311;Santa Maria da Feira
Escapães;3316;Santa Maria da Feira
Fiães;7097;Santa Maria da Feira
Fornos;3436;Santa Maria da Feira
Lourosa;8005;Santa Maria da Feira
Milheirós de Poiares;3594;Santa Maria da Feira
Mozelos;7297;Santa Maria da Feira
Nogueira da Regedoura;5740;Santa Maria da Feira
Paços de Brandão;4775;Santa Maria da Feira
Rio Meão;4814;Santa Maria da Feira
Romariz;2739;Santa Maria da Feira
Sanguedo;3475;Santa Maria da Feira
Santa Maria de Lamas;4748;Santa Maria da Feira
São João de Ver;11029;Santa Maria da Feira
São Paio de Oleiros;3661;Santa Maria da Feira
União das freguesias de Caldas de São Jorge e Pigeiros;3689;Santa Maria da Feira
União das freguesias de Canedo, Vale e Vila Maior;8882;Santa Maria da Feira
União das freguesias de Lobão, Gião, Louredo e Guisande;9649;Santa Maria da Feira
União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;19792;Santa Maria da Feira
União de freguesias de São Miguel de Souto e Mosteirô;6482;Santa Maria da Feira
Agrela;1486;Santo Tirso
Água Longa;2342;Santo Tirso
Aves;7948;Santo Tirso
Monte Córdova;3850;Santo Tirso
Negrelos (São Tomé);3755;Santo Tirso
Rebordões;3130;Santo Tirso
Reguenga;1427;Santo Tirso
Roriz;3308;Santo Tirso
União das freguesias de Areias, Sequeiró, Lama e Palmeira;6369;Santo Tirso
Vila Nova do Campo;6315;Santo Tirso
União das freguesias de Carreira e Refojos de Riba de Ave;2042;Santo Tirso
União das freguesias de Lamelas e Guimarei;1567;Santo Tirso
União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;20595;Santo Tirso
Vilarinho;3591;Santo Tirso
São João da Madeira;22144;São João da Madeira
Covelas;1463;Trofa
Muro;1840;Trofa
União das freguesias de Alvarelhos e Guidões;4771;Trofa
União das freguesias de Bougado (São Martinho e Santiago);21375;Trofa
União das freguesias de Coronado (São Romão e São Mamede);9105;Trofa
Arões;1169;Vale de Cambra
Cepelos;1158;Vale de Cambra
Junqueira;834;Vale de Cambra
Macieira de Cambra;4391;Vale de Cambra
Roge;1540;Vale de Cambra
São Pedro de Castelões;6833;Vale de Cambra
União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;5350;Vale de Cambra
Alfena;14439;Valongo
Ermesinde;39095;Valongo
União das freguesias de Campo e Sobrado;15280;Valongo
Valongo;25883;Valongo
Árvore;5569;Vila do Conde
Aveleda;1224;Vila do Conde
Azurara;2367;Vila do Conde
Fajozes;1637;Vila do Conde
Gião;1659;Vila do Conde
Guilhabreu;2190;Vila do Conde
Junqueira;1917;Vila do Conde
Labruge;3000;Vila do Conde
Macieira da Maia;2491;Vila do Conde
Mindelo;3988;Vila do Conde
Modivas;1764;Vila do Conde
União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;2662;Vila do Conde
União das freguesias de Fornelo e Vairão;2413;Vila do Conde
União das freguesias de Malta e Canidelo;2221;Vila do Conde
União das freguesias de Retorta e Tougues;2044;Vila do Conde
União das freguesias de Rio Mau e Arcos;2643;Vila do Conde
União das freguesias de Touguinha e Touguinhó;3346;Vila do Conde
União das freguesias de Vilar e Mosteiró;2398;Vila do Conde
Vila Chã;3404;Vila do Conde
Vila do Conde;29332;Vila do Conde
Vilar de Pinheiro;2562;Vila do Conde
Arcozelo;15145;Vila Nova de Gaia
Avintes;10838;Vila Nova de Gaia
Canelas;13919;Vila Nova de Gaia
Canidelo;28059;Vila Nova de Gaia
Madalena;10553;Vila Nova de Gaia
Oliveira do Douro;22616;Vila Nova de Gaia
São Félix da Marinha;13560;Vila Nova de Gaia
União das freguesias de Grijó e Sermonde;12018;Vila Nova de Gaia
União das freguesias de Gulpilhares e Valadares;22324;Vila Nova de Gaia
União das freguesias de Mafamude e Vilar do Paraíso;52850;Vila Nova de Gaia
União das freguesias de Pedroso e Seixezelo;20229;Vila Nova de Gaia
União das freguesias de Sandim, Olival, Lever e Crestuma;15956;Vila Nova de Gaia
União das freguesias de Santa Marinha e São Pedro da Afurada;34035;Vila Nova de Gaia
União das freguesias de Serzedo e Perosinho;13746;Vila Nova de Gaia
Vilar de Andorinho;18006;Vila Nova de Gaia
